,id,status
472,DCP-ZDR-2023-03492,Completed
473,DCP-ZDR-2023-03504,Completed
474,DCP-ZDR-2023-03508,Completed
475,DCP-ZDR-2023-03513,Completed
476,DCP-ZDR-2023-03516,Completed
477,DCP-ZDR-2023-03524,Completed
478,DCP-ZDR-2023-03540,Completed
479,DCP-ZDR-2023-03542,Completed
480,DCP-ZDR-2023-03544,Completed
481,DCP-ZDR-2023-03556,Completed
482,DCP-ZDR-2023-03568,Completed
483,DCP-ZDR-2023-03579,In Review
484,DCP-ZDR-2023-03587,Completed
485,DCP-ZDR-2023-03594,Completed
486,DCP-ZDR-2023-03605,Applicant Revisions
487,DCP-ZDR-2023-03617,Cancelled
488,DCP-ZDR-2023-03625,Application Incomplete
489,DCP-ZDR-2023-03630,Completed
490,DCP-ZDR-2023-03642,Applicant Revisions
491,DCP-ZDR-2023-03646,Completed
492,DCP-ZDR-2023-03652,Applicant Revisions
493,DCP-ZDR-2023-03654,Completed
494,DCP-ZDR-2023-03665,Completed
495,DCP-ZDR-2023-03675,Completed
496,DCP-ZDR-2023-03677,Completed
497,DCP-ZDR-2023-03695,Completed
498,DCP-ZDR-2023-03698,Completed
499,DCP-ZDR-2023-03705,Completed
500,DCP-ZDR-2023-03709,Completed
501,DCP-ZDR-2023-03737,Cancelled
502,DCP-ZDR-2023-03746,Cancelled
503,DCP-ZDR-2023-03751,Completed
504,DCP-ZDR-2023-03759,Applicant Revisions
505,DCP-ZDR-2023-03763,Completed
506,DCP-ZDR-2023-03769,Completed
507,DCP-ZDR-2023-03771,Completed
508,DCP-ZDR-2023-03804,Completed
509,DCP-ZDR-2023-03813,Completed
510,DCP-ZDR-2023-03815,Completed
511,DCP-ZDR-2023-03818,Completed
512,DCP-ZDR-2023-03825,Completed
513,DCP-ZDR-2023-03828,Completed
514,DCP-ZDR-2023-03843,Completed
515,DCP-ZDR-2023-03846,Completed
516,DCP-ZDR-2023-03856,Completed
517,DCP-ZDR-2023-03867,In Review
518,DCP-ZDR-2023-03873,Completed
519,DCP-ZDR-2023-03875,Completed
520,DCP-ZDR-2023-03880,Completed
521,DCP-ZDR-2023-03893,Applicant Revisions
522,DCP-ZDR-2023-03898,Completed
523,DCP-ZDR-2023-03903,Withdrawn
524,DCP-ZDR-2023-03908,Applicant Revisions
525,DCP-ZDR-2023-03914,Completed
526,DCP-ZDR-2023-03938,Completed
527,DCP-ZDR-2023-03940,Completed
